start_timestamp,end_timestamp,ASIN,purchased_marketplace,preferred_marketplace,content_type,total_reading_millis,number_of_page_flips
2018-01-20T16:47:58Z,2018-01-20T16:50:52Z,B01B173GA6,,Brazil,E-Book,173700,1
2018-01-22T01:43:28Z,2018-01-22T02:10:26Z,B00BWJC5F6,,Brazil,E-Book,1618100,61
2017-12-29T01:06:06Z,2017-12-29T01:11:47Z,B00849BWNS,,Brazil,E-Book,340500,20
2017-12-30T02:14:13Z,2017-12-30T02:14:17Z,B00849BWNS,,Brazil,E-Book,3100,1
2018-01-20T04:15:37Z,2018-01-20T04:20:23Z,B01B173GA6,,Brazil,E-Book,286100,9
2018-01-07T01:35:22Z,2018-01-07T01:38:13Z,B00849BWNS,,Brazil,E-Book,171100,6
2017-12-16T01:32:38Z,2017-12-16T01:53:58Z,B0084ANCBC,,Brazil,E-Book,1280000,70
2018-01-18T01:22:22Z,2018-01-18T01:22:29Z,B00QVU93JM,,Brazil,E-Book,6000,6
2017-12-24T15:15:08Z,2017-12-24T15:15:25Z,B0084ANCBC,,Brazil,E-Book,17500,2
2018-01-10T01:27:46Z,2018-01-10T01:31:09Z,B01B173GA6,,Brazil,E-Book,200600,11
2018-01-14T01:41:33Z,2018-01-14T01:41:35Z,B01BBKKVVU,,Brazil,E-Book,2000,1
2017-12-22T08:34:10Z,2017-12-22T08:43:01Z,B0084ANCBC,,Brazil,E-Book,531000,38
2018-01-22T01:43:08Z,2018-01-22T01:43:23Z,B00BWJC5F6,,Brazil,E-Book,14800,1
2018-01-12T01:12:06Z,2018-01-12T01:12:28Z,B0084ANCBC,,Brazil,E-Book,19600,4
2017-12-12T01:48:31Z,2017-12-12T01:48:40Z,B0084ANCBC,,Brazil,E-Book,8000,1
2017-12-02T02:02:03Z,2017-12-02T02:12:03Z,B0084ANCBC,,Brazil,E-Book,599700,1
2017-12-26T02:59:55Z,2017-12-26T03:02:24Z,B01B173GA6,,Brazil,E-Book,147400,10
2018-01-10T05:01:40Z,2018-01-10T05:08:05Z,B073SMMJFN,,Brazil,E-Book,383200,9
2017-12-03T02:41:47Z,2017-12-03T02:49:13Z,B0084ANCBC,,Brazil,E-Book,446100,24
2018-01-20T02:51:32Z,2018-01-20T02:53:50Z,B01B173GA6,,Brazil,E-Book,137900,71
2018-01-03T00:49:23Z,2018-01-03T00:49:29Z,B00849BWNS,,Brazil,E-Book,5100,1
2017-12-20T01:13:44Z,2017-12-20T01:23:16Z,B0084ANCBC,,Brazil,E-Book,570100,29
2018-01-13T21:16:56Z,2018-01-13T21:24:04Z,B01BBKKVVU,,Brazil,E-Book,427700,4
2018-01-07T01:06:07Z,2018-01-07T01:07:48Z,B00849BWNS,,Brazil,E-Book,101600,5
2018-01-02T01:31:34Z,2018-01-02T01:31:42Z,B01BBKKVVU,,Brazil,E-Book,6800,2
2018-01-20T18:08:44Z,2018-01-20T18:52:02Z,B00BWJC5F6,,Brazil,E-Book,2597700,89
2018-01-06T02:10:14Z,2018-01-06T02:11:23Z,B01B173GA6,,Brazil,E-Book,68800,4
2017-12-25T01:37:29Z,2017-12-25T01:40:31Z,B01B173GA6,,Brazil,E-Book,181100,11
2018-01-19T01:50:34Z,2018-01-19T01:57:49Z,B00BWJC5F6,,Brazil,E-Book,412200,6
2018-01-14T01:27:04Z,2018-01-14T01:30:00Z,B01BBKKVVU,,Brazil,E-Book,176000,4
2018-01-03T01:10:06Z,2018-01-03T01:26:38Z,B00849BWNS,,Brazil,E-Book,991400,30
2018-01-09T01:14:34Z,2018-01-09T01:15:08Z,B01B173GA6,,Brazil,E-Book,32300,1
2018-01-02T01:40:54Z,2018-01-02T01:42:09Z,B01B173GA6,,Brazil,E-Book,74700,5
2018-01-18T01:29:47Z,2018-01-18T01:31:04Z,B00BWJC5F6,,Brazil,E-Book,75500,2
2017-12-10T16:31:26Z,2017-12-10T16:38:48Z,B0084ANCBC,,Brazil,E-Book,441100,15
2018-01-04T00:59:12Z,2018-01-04T00:59:20Z,B01BBKKVVU,,Brazil,E-Book,7400,1
2017-12-29T00:39:47Z,2017-12-29T00:39:48Z,B0084ANCBC,,Brazil,E-Book,1100,1
2018-01-17T02:57:40Z,2018-01-17T02:59:25Z,B01BBKKVVU,,Brazil,E-Book,104900,3
2018-01-20T04:29:52Z,2018-01-20T04:30:01Z,B01B173GA6,,Brazil,E-Book,7900,1
2017-12-21T01:28:58Z,2017-12-21T01:55:22Z,B0084ANCBC,,Brazil,E-Book,1568800,94
2017-12-19T01:49:12Z,2017-12-19T01:59:41Z,B0084ANCBC,,Brazil,E-Book,629200,44
2018-01-19T01:54:51Z,2018-01-19T01:57:49Z,B00BWJC5F6,,Brazil,E-Book,168300,7
2017-12-23T23:47:56Z,2017-12-24T01:54:17Z,B0084ANCBC,,Brazil,E-Book,7580000,428
2018-01-23T00:33:21Z,2018-01-23T00:37:38Z,B00BWJC5F6,,Brazil,E-Book,256600,10
2017-12-25T17:25:57Z,2017-12-25T17:26:01Z,B0084ANCBC,,Brazil,E-Book,3000,1
2018-01-16T07:06:12Z,2018-01-16T07:16:52Z,B01B173GA6,,Brazil,E-Book,638600,23
2018-01-03T00:53:12Z,2018-01-03T00:53:20Z,B00QVU93JM,,Brazil,E-Book,6600,2
2018-01-18T01:29:29Z,2018-01-18T01:29:42Z,B01B173GA6,,Brazil,E-Book,12600,2
2017-12-27T02:04:39Z,2017-12-27T02:31:37Z,B0084ANCBC,,Brazil,E-Book,1618200,132
2018-01-21T02:01:02Z,2018-01-21T02:05:27Z,B00BWJC5F6,,Brazil,E-Book,265500,15
2017-12-20T00:57:52Z,2017-12-20T01:13:10Z,B0084ANCBC,,Brazil,E-Book,918200,62
2017-12-27T01:37:50Z,2017-12-27T01:38:14Z,B01B173GA6,,Brazil,E-Book,23200,1
2018-01-12T01:05:41Z,2018-01-12T01:06:41Z,B00BWJC5F6,,Brazil,E-Book,57900,41
2017-12-30T02:12:03Z,2017-12-30T02:14:09Z,B01B173GA6,,Brazil,E-Book,124100,3
2018-01-02T01:22:43Z,2018-01-02T01:25:05Z,B00849BWNS,,Brazil,E-Book,141600,5
2018-01-20T04:30:19Z,2018-01-20T04:44:46Z,B01B173GA6,,Brazil,E-Book,865900,90
2018-01-05T02:18:42Z,2018-01-05T02:21:03Z,B00849BWNS,,Brazil,E-Book,140400,3
2017-12-17T03:07:49Z,2017-12-17T03:12:07Z,B0084ANCBC,,Brazil,E-Book,258400,10
2017-12-24T09:31:51Z,2017-12-24T09:44:40Z,B0084ANCBC,,Brazil,E-Book,769000,48
2017-12-29T00:58:09Z,2017-12-29T00:58:37Z,B00849BWNS,,Brazil,E-Book,27300,3
2018-01-20T02:05:46Z,2018-01-20T02:10:58Z,B01B173GA6,,Brazil,E-Book,312000,9
