ASIN,path_book,title
B01B173GA6,https://www.amazon.com/gp/product/B01B173GA6,Pride and Prejudice
B00BWJC5F6,https://www.amazon.com/gp/product/B00BWJC5F6,The Princess Bride
B00849BWNS,https://www.amazon.com/gp/product/B00849BWNS,Utilitarianism 
B0084ANCBC,https://www.amazon.com/gp/product/B0084ANCBC,Vanity Fair
B00QVU93JM,https://www.amazon.com/gp/product/B00QVU93JM,O mundo assombrado pelos demônios
B01BBKKVVU,https://www.amazon.com/gp/product/B01BBKKVVU,The Time Machine 
B073SMMJFN,https://www.amazon.com/gp/product/B073SMMJFN,Jane Austen: The complete Novels
B00RQUS45U,https://www.amazon.com/gp/product/B00RQUS45U,Le Petit Prince
B004BDOJJU,https://www.amazon.com/gp/product/B004BDOJJU,Stardust 
B06XC8R661,https://www.amazon.com/gp/product/B06XC8R661,H. G. Wells: The Collection
B075133SGP,https://www.amazon.com/gp/product/B075133SGP,Northanger Abbey
B0062Y7C18,https://www.amazon.com/gp/product/B0062Y7C18,Cuentos completos
B0756ZS2DT,https://www.amazon.com/gp/product/B0756ZS2DT,Around the World in Eighty Days
B004TPSZI6,https://www.amazon.com/gp/product/B004TPSZI6,"Oscar Wilde: Art and Morality A Defence of ""The Picture of Dorian Gray"" "
B01CY2LCZI,https://www.amazon.com/gp/product/B01CY2LCZI,Against Empathy: The Case for Rational Compassion
B00UB12NY4,https://www.amazon.com/gp/product/B00UB12NY4,Obras Completas de Machado de Assis: Romances 
B00EJRPZEQ,https://www.amazon.com/gp/product/B00EJRPZEQ,The Great Gatsby
B01DSIP9UG,https://www.amazon.com/gp/product/B01DSIP9UG,The Research Impact Handbook
B074W95Z2Y,https://www.amazon.com/gp/product/B074W95Z2Y,Journey to the Center of the Earth
B01N5X6AM2,https://www.amazon.com/gp/product/B01N5X6AM2,Don Quijote de la Mancha
B07C8KQGSP,https://www.amazon.com/gp/product/B07C8KQGSP,
B075M7VBK7,https://www.amazon.com/gp/product/B075M7VBK7,Persuasion 
B0786VB91D,https://www.amazon.com/gp/product/B0786VB91D,
B07G2RKY6N,https://www.amazon.com/gp/product/B07G2RKY6N,
B019AVKTPU,https://www.amazon.com/gp/product/B019AVKTPU,The Picture of Dorian Gray
B07N6MN3ZG,https://www.amazon.com/gp/product/B07N6MN3ZG,O Silmarillion
B07N7DKHH5,https://www.amazon.com/gp/product/B07N7DKHH5,Sherlock Holmes: The Complete Collection
B008TGMR4E,https://www.amazon.com/gp/product/B008TGMR4E,The Hobbit
B000W9399S,https://www.amazon.com/gp/product/B000W9399S,The Color of Magic: A Novel of Discworld
B07K8SKBXZ,https://www.amazon.com/gp/product/B07K8SKBXZ,
B00A7C9EVM,https://www.amazon.com/gp/product/B00A7C9EVM,Dune: The Gateway Collection
B00VTW439C,https://www.amazon.com/gp/product/B00VTW439C,A Middle Earth Dictionary
B004TXRXYU,https://www.amazon.com/gp/product/B004TXRXYU,Les trois mousquetaires
B0825FWP4N,https://www.amazon.com/gp/product/B0825FWP4N,The Life You Can Save
B07QKCV36L,https://www.amazon.com/gp/product/B07QKCV36L,Box Grandes Obras de Dostoiévski
B073V27S6G,https://www.amazon.com/gp/product/B073V27S6G,Jane Eyre
B071GTPBB1,https://www.amazon.com/gp/product/B071GTPBB1,The Wonderful Wizard of Oz 
B07R2DM74Q,https://www.amazon.com/gp/product/B07R2DM74Q,Dom Quixote
B07XLVGMWZ,https://www.amazon.com/gp/product/B07XLVGMWZ,Box Trilogia O Senhor dos Anéis
B07HY7YH7R,https://www.amazon.com/gp/product/B07HY7YH7R,Don't Panic: Douglas Adams & The Hitchhiker's Guide to the Galaxy
B00FWOKE28,https://www.amazon.com/gp/product/B00FWOKE28,The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury 
B07642RQ6M,https://www.amazon.com/gp/product/B07642RQ6M,The Productive Researcher 
B0765ZZ4L2,https://www.amazon.com/gp/product/B0765ZZ4L2,Sucesso e sorte: O mito da meritocracia 
B073W9TT71,https://www.amazon.com/gp/product/B073W9TT71,Little Women
B074W3FTB5,https://www.amazon.com/gp/product/B074W3FTB5,
B00J3V9PTO,https://www.amazon.com/gp/product/B00J3V9PTO,Beowulf: A Translation and Commentary
B00AAJQYPG,https://www.amazon.com/gp/product/B00AAJQYPG,Deadpool Vol. 1: Secret Invasion
B002RKT6QK,https://www.amazon.com/gp/product/B002RKT6QK,Ulysses
B00AGAOPUA,https://www.amazon.com/gp/product/B00AGAOPUA,Viagens de Gulliver
B07NMJPD6T,https://www.amazon.com/gp/product/B07NMJPD6T,The Collected Stories of Arthur C. Clarke
B005R3Y6YQ,https://www.amazon.com/gp/product/B005R3Y6YQ,Madame Bovary
B075M831DT,https://www.amazon.com/gp/product/B075M831DT,The Lost World
B075CL6KKV,https://www.amazon.com/gp/product/B075CL6KKV,The Phantom of the Opera
B086BL966W,https://www.amazon.com/gp/product/B086BL966W,William Shakespeare : Complete Collection
B0819YK55Y,https://www.amazon.com/gp/product/B0819YK55Y,Twenty Thousand Leagues Under the Sea
B015FJSOOY,https://www.amazon.com/gp/product/B015FJSOOY,English grammar in context 
B07J568M42,https://www.amazon.com/gp/product/B07J568M42,Sandman Vol. 1: Preludes & Nocturnes - 30th Anniversary Edition 
B00847JQYC,https://www.amazon.com/gp/product/B00847JQYC,Tristan und Isolde
B00CX3CKUU,https://www.amazon.com/gp/product/B00CX3CKUU,O guia definitivo do mochileiro das galáxias
B0054LJGWS,https://www.amazon.com/gp/product/B0054LJGWS,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch"
B07R7HM8G7,https://www.amazon.com/gp/product/B07R7HM8G7,Os Três Mosqueteiros
B00KXE103Y,https://www.amazon.com/gp/product/B00KXE103Y,O segundo sexo
B07D7GDTX4,https://www.amazon.com/gp/product/B07D7GDTX4,A princesa prometida
B00D3CUH0U,https://www.amazon.com/gp/product/B00D3CUH0U,
